Date,Amount,Category,Description
2024-08-01,P1000.00,Weekly Groceries - Food,Spar
2024-08-02,P500.00,Weekly Transport,Cash - Taxi
2024-08-03,P200.00,Entertainment,New Capital Cinema
2024-08-04,P80.00,Hot Coco,Mugg and Bean
2024-08-05,P2500.00,Groceries - Clothes,Mr.Price
2024-08-06,-P500.00,Refund,Returned T-Shirt - Mr. Price
2024-08-07,P100.00,Stationery,PEP
2024-08-08,P1000,Treat Yourself Friday,Rocco Mamas
2024-08-09,P67.80,Bougie Kota,Sefalana Convinience Store
2024-08-10,P4.20,Coffee,Campus Cafe Cappuccino
2024-08-11,P32.50,Transport,Uber to Airport
2024-08-12,P156.00,Groceries,Woolworths Fortnightly Shop
2024-08-13,P8.50,Coffee,Gloria Jeans Large Latte
2024-08-14,P95.00,Entertainment,Movies and Dinner - Event Cinemas
2024-08-15,P28.90,Dining,Lunch - Guzman y Gomez
2024-08-16,-P12.50,Refund,Coffee Shop Refund
2024-08-17,P45.00,Transport,Petrol - Caltex Woolworths
2024-08-18,P73.20,Groceries,IGA Local Shop
2024-08-19,P22.00,Entertainment,Netflix Monthly Subscription
2024-08-20,P5.80,Coffee,Local Cafe Americano
2024-08-21,P34.95,Dining,Thai Takeaway
2024-08-22,P18.50,Transport,Bus Pass Weekly
2024-08-23,P92.00,Utilities,Internet Bill - Telstra
2024-08-24,P6.80,Coffee,University Coffee Cart
2024-08-25,P145.60,Groceries,Monthly Bulk Shopping - Costco
